=== BAI 5 - SHOCK DETECTION ===
NGUONG: abs(|a| - 1g) > 2.0 g
Tan so lay mau: 500Hz (buoc 2ms)
Time_ms,Ax,Ay,Az,Magnitude,SHOCK
1478,0.000,-0.012,1.001,1.001,0
1480,0.009,-0.008,0.992,0.992,0
1482,0.013,-0.003,1.000,1.000,0
1484,0.000,0.002,0.987,0.987,0
1486,0.012,-0.007,1.002,1.002,0
1488,-0.001,-0.000,1.005,1.005,0
1490,0.012,-0.007,0.999,0.999,0
1492,0.010,0.001,1.000,1.000,0
1494,0.009,-0.004,1.006,1.006,0
1496,0.002,-0.004,1.003,1.003,0
1498,0.006,-0.004,1.009,1.009,0
1500,0.011,-0.004,1.005,1.005,0
1502,0.011,0.003,0.996,0.996,0
1504,0.006,-0.007,1.000,1.000,0
1506,0.011,-0.003,0.995,0.995,0
1508,0.007,0.002,0.996,0.996,0
1510,0.011,-0.005,1.012,1.012,0
1512,0.012,-0.015,1.002,1.002,0
1514,0.010,-0.010,0.997,0.997,0
1516,0.006,-0.005,1.009,1.009,0
1518,0.011,-0.007,1.015,1.015,0
1520,0.005,0.002,0.999,0.999,0
1522,0.006,-0.002,0.999,0.999,0
1524,0.016,-0.003,0.997,0.997,0
1526,0.010,0.003,1.010,1.010,0
1528,0.003,-0.009,1.002,1.002,0
1530,0.008,0.002,1.005,1.005,0
1532,0.001,-0.004,1.009,1.009,0
1534,0.005,-0.002,1.005,1.005,0
1536,0.013,0.002,1.002,1.002,0
1538,0.008,-0.011,1.006,1.006,0
1540,0.004,-0.003,1.012,1.012,0
1542,0.008,-0.002,1.006,1.006,0
1544,0.011,-0.006,1.000,1.000,0
1546,0.008,-0.012,1.003,1.003,0
1548,0.003,-0.005,1.009,1.009,0
1550,0.005,-0.007,1.004,1.004,0
1552,0.007,-0.002,1.000,1.000,0
1554,0.010,-0.008,1.001,1.001,0
1556,0.005,-0.003,1.016,1.016,0
1558,0.008,0.002,0.999,0.999,0
1560,0.009,-0.010,1.005,1.005,0
1562,0.009,-0.005,1.003,1.003,0
1564,0.009,-0.006,0.998,0.998,0
1566,0.002,-0.004,1.010,1.010,0
1568,0.008,-0.007,1.003,1.003,0
1570,0.011,-0.009,1.009,1.009,0
1572,0.005,-0.011,1.007,1.007,0
1574,0.007,-0.006,1.001,1.001,0
1576,0.008,-0.002,1.007,1.007,0
1578,0.010,-0.011,1.012,1.012,0
1580,0.014,0.001,1.001,1.002,0
1582,0.006,-0.002,1.008,1.008,0
1584,-0.000,-0.001,1.005,1.005,0
1586,0.006,-0.002,1.002,1.002,0
1588,0.006,-0.002,1.002,1.002,0
1590,0.007,-0.006,1.002,1.002,0
1592,0.002,-0.003,1.004,1.004,0
1594,0.008,-0.013,1.002,1.002,0
1596,0.004,-0.008,1.006,1.006,0
1598,0.006,-0.001,0.995,0.995,0
1600,0.013,-0.001,1.004,1.004,0
