# MPU6050 Phan 6 - Simulated Data
# Time_ms, Roll_Accel(deg), Pitch_Accel(deg), Roll_Gyro(deg), Pitch_Gyro(deg), Yaw_Gyro(deg), Roll_CF(deg), Pitch_CF(deg), Roll_KF(deg), Pitch_KF(deg), Ax_lin(g), Ay_lin(g), Az_lin(g)
14940,1.93,-14.79,10.47,-5.68,0.38,-0.12,-2.28,0.11,-2.67,0.2089,0.0310,-0.1160
14950,1.94,-20.03,10.48,-5.68,0.38,-0.07,-2.63,0.18,-3.20,0.2645,0.0274,-0.1782
14960,-12.08,-17.07,10.49,-5.67,0.38,-0.31,-2.91,-0.18,-3.63,0.2592,-0.2155,-0.0090
14970,9.66,-10.46,10.49,-5.68,0.38,-0.11,-3.07,0.12,-3.87,0.1247,0.1823,0.0168
14980,0.44,-9.30,10.49,-5.68,0.38,-0.10,-3.19,0.14,-4.05,0.0922,0.0072,0.0019
14990,-2.25,-6.04,10.49,-5.68,0.38,-0.14,-3.25,0.07,-4.13,0.0261,-0.0393,-0.0286
15000,2.98,-7.41,10.50,-5.68,0.38,-0.07,-3.33,0.17,-4.25,0.0513,0.0529,-0.0064
15010,1.13,2.78,10.49,-5.67,0.37,-0.05,-3.21,0.20,-4.05,-0.1408,0.0226,0.2223
15020,5.34,5.20,10.49,-5.68,0.37,0.06,-3.04,0.37,-3.79,-0.1718,0.0970,0.0522
15030,3.46,-0.95,10.49,-5.68,0.37,0.13,-3.00,0.47,-3.72,-0.0471,0.0595,0.0927
15040,5.27,0.30,10.49,-5.68,0.37,0.23,-2.93,0.63,-3.62,-0.0685,0.0822,-0.0163
15050,13.74,3.39,10.49,-5.68,0.38,0.50,-2.81,1.04,-3.42,-0.1054,0.1683,-0.2728
15060,9.18,-9.21,10.50,-5.67,0.37,0.68,-2.93,1.31,-3.60,0.0637,0.0933,-0.2875
15070,-1.45,-6.93,10.50,-5.68,0.37,0.64,-3.01,1.24,-3.72,0.0974,-0.0602,0.2822
15080,-10.64,-1.97,10.50,-5.68,0.36,0.41,-3.00,0.90,-3.69,-0.0310,-0.1943,-0.1045
15090,14.37,-14.02,10.50,-5.68,0.36,0.69,-3.22,1.32,-4.02,0.1685,0.2131,-0.1114
15100,-2.45,8.06,10.50,-5.68,0.36,0.63,-2.99,1.22,-3.67,-0.2132,-0.0691,0.0171
15110,-4.16,0.46,10.49,-5.68,0.36,0.53,-2.92,1.07,-3.55,-0.0674,-0.0992,0.0597
15120,-13.45,4.30,10.49,-5.68,0.36,0.25,-2.78,0.64,-3.33,-0.1386,-0.2743,0.0747
15130,1.80,11.34,10.49,-5.68,0.35,0.28,-2.50,0.68,-2.89,-0.2955,0.0351,0.2274
15140,0.56,-0.35,10.49,-5.68,0.35,0.29,-2.46,0.69,-2.82,-0.0265,0.0064,0.1770
15150,-14.64,-0.11,10.49,-5.68,0.36,-0.01,-2.40,0.23,-2.74,-0.0308,-0.2311,-0.1613
15160,2.82,-11.86,10.48,-5.66,0.35,0.03,-2.58,0.30,-3.01,0.2038,0.0610,0.1004
15170,-4.98,-6.70,10.48,-5.66,0.35,-0.07,-2.66,0.15,-3.12,0.0678,-0.0777,-0.0974
15180,21.30,7.03,10.49,-5.65,0.35,0.37,-2.46,0.80,-2.81,-0.1714,0.3806,-0.0574
15190,-6.29,-18.89,10.48,-5.65,0.35,0.23,-2.78,0.59,-3.31,0.2473,-0.1029,-0.1908
15200,-5.54,-14.60,10.48,-5.65,0.35,0.11,-3.02,0.41,-3.66,0.1447,-0.0787,-0.2667
15210,-7.84,-5.92,10.49,-5.66,0.35,-0.04,-3.09,0.17,-3.75,0.0465,-0.1374,-0.0166
15220,11.58,0.88,10.48,-5.66,0.35,0.18,-3.01,0.52,-3.63,-0.0711,0.1762,-0.1475
15230,-3.23,6.04,10.48,-5.67,0.35,0.12,-2.83,0.41,-3.35,-0.1720,-0.0678,0.1284
15240,-6.85,2.06,10.48,-5.66,0.35,-0.02,-2.73,0.20,-3.19,-0.0797,-0.1146,-0.0503
15250,5.10,-9.63,10.48,-5.66,0.35,0.08,-2.87,0.35,-3.40,0.1325,0.0952,0.0362
15260,-9.97,-13.57,10.48,-5.66,0.35,-0.12,-3.08,0.04,-3.72,0.2393,-0.2070,0.1853
15270,5.92,-17.22,10.48,-5.67,0.35,0.00,-3.38,0.22,-4.16,0.1787,0.0891,-0.2305
15280,15.60,3.19,10.48,-5.66,0.35,0.31,-3.23,0.70,-3.94,-0.1199,0.2494,-0.1106
15290,4.06,7.95,10.48,-5.66,0.35,0.39,-3.01,0.81,-3.59,-0.2037,0.0639,0.0240
15300,4.55,-2.18,10.47,-5.65,0.35,0.46,-2.99,0.93,-3.55,-0.0139,0.0708,0.0416
15310,5.76,11.54,10.47,-5.65,0.35,0.56,-2.70,1.08,-3.10,-0.2853,0.1004,0.1522
15320,11.99,-3.30,10.46,-5.66,0.36,0.79,-2.71,1.42,-3.12,0.0270,0.2150,0.1109
15330,9.32,0.12,10.46,-5.66,0.36,0.95,-2.66,1.67,-3.03,-0.0414,0.1330,-0.0044
15340,2.98,2.65,10.46,-5.66,0.37,0.99,-2.55,1.73,-2.86,-0.0847,0.0166,0.0252
15350,6.63,11.40,10.46,-5.65,0.37,1.11,-2.26,1.90,-2.42,-0.2413,0.0819,0.0279
15360,-10.01,-6.73,10.46,-5.65,0.37,0.88,-2.36,1.56,-2.55,0.0712,-0.1772,-0.2301
15370,6.04,3.39,10.46,-5.65,0.37,0.99,-2.24,1.72,-2.37,-0.0815,0.0685,-0.0314
15380,-8.57,8.20,10.47,-5.65,0.38,0.80,-2.03,1.42,-2.05,-0.1682,-0.1888,0.0278
15390,-3.39,20.47,10.47,-5.65,0.38,0.72,-1.58,1.29,-1.35,-0.4024,-0.0884,0.0564
15400,-27.92,-0.90,10.46,-5.65,0.38,0.14,-1.56,0.41,-1.33,0.0231,-0.4709,-0.1435
15410,3.42,-18.77,10.47,-5.66,0.39,0.21,-1.92,0.51,-1.86,0.2784,0.0491,-0.1854
15420,-6.12,-15.06,10.47,-5.65,0.40,0.09,-2.17,0.31,-2.25,0.2487,-0.1023,-0.0288
15430,6.74,2.08,10.48,-5.65,0.40,0.23,-2.09,0.52,-2.12,-0.0656,0.1529,0.2864
15440,3.06,4.43,10.48,-5.66,0.39,0.29,-1.97,0.61,-1.92,-0.0830,0.0425,-0.1250
15450,7.49,-4.25,10.48,-5.66,0.39,0.43,-2.02,0.82,-1.99,0.0737,0.1450,0.1653
15460,-7.75,5.79,10.48,-5.67,0.39,0.27,-1.86,0.57,-1.75,-0.1390,-0.1769,0.2156
15470,8.00,-3.57,10.48,-5.66,0.40,0.43,-1.89,0.80,-1.80,0.0532,0.1343,-0.0145
15480,18.24,-7.86,10.48,-5.66,0.41,0.78,-2.01,1.34,-1.98,0.1167,0.2797,-0.1172
15490,5.40,-10.40,10.48,-5.66,0.40,0.87,-2.18,1.48,-2.23,0.1765,0.0746,0.0586
15500,5.85,-0.27,10.48,-5.67,0.40,0.97,-2.15,1.63,-2.17,-0.0214,0.0746,0.0104
15510,0.98,0.67,10.49,-5.67,0.40,0.98,-2.09,1.63,-2.09,-0.0351,-0.0176,-0.1403
15520,-5.44,6.81,10.48,-5.67,0.40,0.85,-1.91,1.43,-1.81,-0.1294,-0.1157,-0.1048
15530,5.42,5.39,10.49,-5.66,0.39,0.94,-1.76,1.57,-1.58,-0.1157,0.0733,0.0590
15540,-11.40,0.67,10.49,-5.66,0.39,0.70,-1.71,1.19,-1.50,-0.0243,-0.2534,0.1244
15550,-4.23,-4.36,10.49,-5.66,0.41,0.60,-1.76,1.03,-1.58,0.0615,-0.0857,-0.0608
15560,-15.13,-8.46,10.48,-5.65,0.41,0.28,-1.89,0.54,-1.77,0.1363,-0.2742,-0.0216
15570,-5.84,5.05,10.49,-5.66,0.41,0.16,-1.76,0.35,-1.56,-0.1152,-0.1084,0.0846
15580,4.91,-13.60,10.48,-5.66,0.40,0.25,-1.99,0.49,-1.92,0.2178,0.0888,-0.0395
15590,3.82,1.20,10.48,-5.67,0.39,0.32,-1.94,0.59,-1.83,-0.0445,0.0649,-0.0556
15600,-0.15,-1.05,10.49,-5.66,0.40,0.32,-1.91,0.58,-1.79,-0.0067,-0.0031,-0.1178
15610,0.98,5.75,10.48,-5.65,0.39,0.32,-1.75,0.59,-1.55,-0.1098,0.0140,-0.1144
15620,-11.57,13.24,10.47,-5.64,0.40,0.08,-1.44,0.22,-1.08,-0.3433,-0.2797,0.3818
15630,-3.77,-8.65,10.47,-5.64,0.40,-0.00,-1.58,0.09,-1.30,0.1453,-0.0500,-0.0456
15640,-5.19,-6.01,10.47,-5.64,0.40,-0.10,-1.67,-0.07,-1.43,0.1171,-0.0915,0.1792
15650,-4.85,0.99,10.47,-5.64,0.39,-0.20,-1.62,-0.22,-1.35,-0.0338,-0.0838,0.2157
15660,4.56,-1.71,10.48,-5.64,0.40,-0.09,-1.62,-0.06,-1.35,0.0175,0.0998,-0.0613
15670,-7.30,-5.09,10.48,-5.64,0.40,-0.24,-1.69,-0.29,-1.46,0.0806,-0.1133,0.0205
15680,-5.50,11.54,10.48,-5.65,0.41,-0.34,-1.44,-0.45,-1.06,-0.2196,-0.0712,-0.0185
15690,-22.29,3.99,10.49,-5.65,0.41,-0.78,-1.33,-1.12,-0.90,-0.0614,-0.2789,-0.2619
15700,-3.88,-9.88,10.48,-5.64,0.41,-0.84,-1.49,-1.22,-1.15,0.1303,-0.0094,-0.2402
15710,-9.48,9.08,10.49,-5.64,0.42,-1.01,-1.28,-1.48,-0.83,-0.1682,-0.1221,-0.0001
15720,0.11,-3.79,10.48,-5.65,0.42,-1.00,-1.33,-1.46,-0.91,0.0608,0.0504,-0.0676
15730,-6.63,7.90,10.49,-5.64,0.42,-1.10,-1.15,-1.62,-0.62,-0.1774,-0.0990,0.2659
15740,0.33,-5.17,10.49,-5.64,0.42,-1.07,-1.22,-1.58,-0.74,0.0913,0.0564,-0.0507
15750,-1.37,-0.63,10.49,-5.63,0.42,-1.08,-1.21,-1.59,-0.72,0.0152,0.0181,0.2636
15760,14.10,12.67,10.49,-5.64,0.43,-0.77,-0.93,-1.12,-0.30,-0.2107,0.2760,-0.0955
15770,2.81,-8.40,10.50,-5.64,0.44,-0.69,-1.08,-1.01,-0.53,0.1960,0.0948,0.2497
15780,-14.50,4.51,10.49,-5.64,0.44,-0.97,-0.97,-1.44,-0.36,-0.0845,-0.2429,0.0369
15790,-10.16,5.12,10.49,-5.64,0.44,-1.16,-0.85,-1.72,-0.18,-0.0910,-0.1489,0.0431
15800,-0.10,-3.01,10.50,-5.63,0.44,-1.13,-0.89,-1.68,-0.24,0.0576,0.0467,-0.1122
15810,-7.63,-9.69,10.50,-5.63,0.44,-1.26,-1.06,-1.88,-0.51,0.1898,-0.0960,0.0485
15820,-19.52,5.55,10.50,-5.63,0.44,-1.62,-0.93,-2.43,-0.31,-0.1281,-0.3817,0.2051
15830,10.81,-1.63,10.50,-5.62,0.45,-1.37,-0.94,-2.05,-0.32,0.0318,0.2527,-0.0670
15840,5.72,-4.90,10.51,-5.62,0.45,-1.23,-1.01,-1.83,-0.44,0.0825,0.1504,-0.0914
15850,3.93,-7.10,10.51,-5.61,0.44,-1.12,-1.13,-1.67,-0.63,0.1161,0.1145,-0.0736
15860,-4.54,-2.08,10.51,-5.62,0.44,-1.19,-1.15,-1.77,-0.66,0.0367,-0.0520,0.1961
15870,2.68,1.73,10.50,-5.61,0.45,-1.12,-1.09,-1.66,-0.57,-0.0426,0.0980,0.0773
15880,-5.30,4.75,10.50,-5.61,0.45,-1.20,-0.97,-1.78,-0.39,-0.1061,-0.0682,0.1579
15890,1.10,-1.75,10.51,-5.61,0.45,-1.15,-0.98,-1.71,-0.42,0.0294,0.0648,-0.0116
15900,-8.14,7.66,10.50,-5.61,0.45,-1.30,-0.81,-1.92,-0.16,-0.1371,-0.0988,-0.0501
15910,11.25,20.56,10.50,-5.60,0.45,-1.05,-0.38,-1.54,0.50,-0.3938,0.2534,0.0072
15920,-11.65,-4.02,10.50,-5.60,0.46,-1.26,-0.45,-1.86,0.39,0.1044,-0.1991,0.0989
15930,9.99,-8.77,10.50,-5.60,0.45,-1.04,-0.61,-1.52,0.13,0.1658,0.2102,-0.0938
15940,-0.19,15.15,10.49,-5.59,0.46,-1.03,-0.29,-1.50,0.61,-0.3080,0.0296,0.1412
15950,-4.40,6.89,10.49,-5.60,0.45,-1.10,-0.15,-1.60,0.83,-0.0998,-0.0471,-0.0088
15960,1.29,-9.57,10.49,-5.60,0.46,-1.05,-0.35,-1.52,0.53,0.1373,0.0488,-0.4034
15970,4.92,-15.73,10.49,-5.61,0.45,-0.93,-0.66,-1.34,0.05,0.3354,0.1270,0.0856
15980,13.08,-1.54,10.49,-5.60,0.44,-0.65,-0.67,-0.91,0.02,0.0284,0.2109,-0.2259
15990,1.83,4.40,10.49,-5.60,0.46,-0.60,-0.57,-0.83,0.18,-0.0797,0.0502,0.0891
16000,-7.03,0.36,10.48,-5.60,0.46,-0.73,-0.55,-1.03,0.20,0.0019,-0.1238,0.0907
16010,-0.09,-11.84,10.49,-5.59,0.45,-0.71,-0.77,-1.00,-0.15,0.2238,0.0172,0.0047
16020,13.29,3.85,10.49,-5.59,0.45,-0.43,-0.67,-0.57,-0.01,-0.0753,0.2673,0.0350
16030,9.14,4.72,10.49,-5.60,0.45,-0.24,-0.57,-0.28,0.15,-0.0934,0.1871,0.1123
16040,7.53,3.11,10.48,-5.59,0.45,-0.09,-0.49,-0.04,0.26,-0.0436,0.1152,-0.1205
16050,5.44,6.08,10.48,-5.59,0.45,0.01,-0.36,0.12,0.46,-0.1085,0.0933,0.0692
16060,4.51,-1.82,10.49,-5.59,0.45,0.11,-0.39,0.27,0.41,0.0502,0.0750,0.1184
16070,7.21,-11.43,10.49,-5.59,0.44,0.25,-0.61,0.49,0.06,0.2618,0.1367,0.1976
16080,-5.19,-4.51,10.48,-5.60,0.44,0.14,-0.70,0.32,-0.07,0.0632,-0.1004,-0.2207
16090,-11.06,0.92,10.48,-5.60,0.45,-0.08,-0.67,-0.02,-0.03,-0.0220,-0.2234,0.0061
16100,0.02,1.54,10.48,-5.60,0.45,-0.09,-0.62,-0.02,0.04,-0.0265,-0.0093,-0.1894
16110,-8.58,13.56,10.48,-5.61,0.45,-0.26,-0.34,-0.28,0.46,-0.2063,-0.1351,-0.1860
16120,-8.82,-7.91,10.48,-5.61,0.44,-0.43,-0.50,-0.54,0.22,0.1526,-0.1622,0.0175
16130,-6.47,-0.45,10.48,-5.61,0.44,-0.55,-0.50,-0.72,0.22,0.0080,-0.1064,-0.0235
16140,16.80,0.32,10.48,-5.61,0.44,-0.21,-0.48,-0.20,0.24,-0.0070,0.3557,0.1298
16150,0.61,-27.03,10.48,-5.62,0.44,-0.18,-1.02,-0.17,-0.59,0.4741,0.0032,-0.0891
16160,2.51,-3.67,10.48,-5.63,0.44,-0.13,-1.09,-0.09,-0.69,0.0379,0.0352,-0.0545
16170,-10.32,4.91,10.47,-5.63,0.44,-0.34,-0.96,-0.40,-0.51,-0.1137,-0.1923,-0.0025
16180,-17.65,2.66,10.47,-5.63,0.43,-0.69,-0.89,-0.93,-0.40,-0.0616,-0.2713,-0.1553
16190,-8.20,-11.67,10.47,-5.64,0.43,-0.84,-1.11,-1.17,-0.74,0.1659,-0.1117,-0.1278
16200,9.75,-1.74,10.47,-5.64,0.43,-0.63,-1.12,-0.84,-0.76,0.0101,0.2156,0.1407
16210,2.43,11.66,10.47,-5.63,0.43,-0.57,-0.87,-0.74,-0.38,-0.2115,0.0475,-0.1036
16220,3.78,-7.43,10.47,-5.63,0.43,-0.48,-1.00,-0.61,-0.58,0.1350,0.0828,0.1483
16230,5.14,4.08,10.46,-5.62,0.42,-0.38,-0.89,-0.44,-0.42,-0.0980,0.0986,0.0589
16240,-7.05,-20.53,10.46,-5.62,0.43,-0.52,-1.27,-0.65,-1.02,0.2691,-0.0959,-0.2511
16250,10.13,-9.17,10.45,-5.62,0.43,-0.31,-1.43,-0.33,-1.27,0.1426,0.1910,0.0576
16260,-5.41,2.42,10.45,-5.62,0.43,-0.41,-1.36,-0.49,-1.16,-0.0822,-0.1065,0.0536
16270,10.41,-10.80,10.44,-5.63,0.43,-0.20,-1.56,-0.16,-1.46,0.1682,0.1894,0.0367
16280,3.20,-1.71,10.44,-5.62,0.43,-0.13,-1.55,-0.05,-1.46,-0.0131,0.0425,-0.0456
16290,-17.39,-9.02,10.44,-5.62,0.43,-0.48,-1.70,-0.58,-1.69,0.0994,-0.2776,-0.1571
16300,-5.66,-4.28,10.43,-5.62,0.43,-0.59,-1.75,-0.75,-1.77,0.0420,-0.1153,0.1766
16310,-15.31,5.80,10.44,-5.63,0.43,-0.88,-1.61,-1.19,-1.56,-0.1498,-0.2573,-0.0386
16320,10.39,4.79,10.45,-5.63,0.43,-0.65,-1.48,-0.84,-1.36,-0.1134,0.1757,-0.1481
16330,-0.71,-9.02,10.45,-5.63,0.43,-0.64,-1.63,-0.83,-1.60,0.1308,-0.0024,0.0504
16340,-20.54,1.76,10.45,-5.63,0.42,-1.04,-1.56,-1.44,-1.49,-0.0702,-0.3163,-0.1231
16350,2.99,2.61,10.45,-5.62,0.42,-0.96,-1.47,-1.31,-1.37,-0.0765,0.0706,-0.1464
16360,-5.31,7.18,10.46,-5.62,0.42,-1.04,-1.30,-1.44,-1.11,-0.1513,-0.0630,-0.0573
16370,-14.04,-4.98,10.46,-5.63,0.42,-1.30,-1.38,-1.84,-1.23,0.0527,-0.1948,-0.0958
16380,15.14,-19.59,10.46,-5.62,0.41,-0.97,-1.74,-1.33,-1.78,0.2836,0.2655,-0.1262
16390,0.30,6.94,10.46,-5.63,0.41,-0.94,-1.57,-1.28,-1.53,-0.1766,0.0284,0.1251
16400,-3.05,-1.33,10.47,-5.62,0.41,-0.98,-1.56,-1.34,-1.52,-0.0122,-0.0301,-0.0123
16410,-3.29,-10.76,10.46,-5.63,0.41,-1.03,-1.75,-1.42,-1.80,0.1862,-0.0437,0.1830
16420,-14.72,-0.49,10.47,-5.63,0.41,-1.30,-1.72,-1.83,-1.77,-0.0357,-0.2002,-0.1264
16430,-14.94,-6.28,10.48,-5.63,0.41,-1.56,-1.82,-2.23,-1.91,0.0419,-0.1605,-0.2445
16440,9.85,7.43,10.48,-5.63,0.41,-1.33,-1.63,-1.88,-1.63,-0.1760,0.2165,0.0351
16450,-3.55,-3.68,10.49,-5.64,0.42,-1.37,-1.68,-1.93,-1.70,0.0452,-0.0449,0.2766
16460,-0.35,0.42,10.48,-5.64,0.41,-1.36,-1.64,-1.91,-1.65,-0.0448,0.0280,0.0740
16470,-11.83,-6.20,10.48,-5.63,0.41,-1.57,-1.72,-2.23,-1.78,0.1246,-0.2679,0.4528
16480,-10.89,-10.21,10.48,-5.62,0.41,-1.75,-1.89,-2.51,-2.03,0.1471,-0.1510,0.0193
16490,4.37,-20.92,10.49,-5.62,0.40,-1.62,-2.27,-2.31,-2.62,0.3396,0.1313,0.0046
16500,3.78,-8.59,10.48,-5.62,0.39,-1.52,-2.39,-2.15,-2.81,0.0362,0.0917,-0.3364
16510,13.02,-3.51,10.48,-5.62,0.39,-1.23,-2.41,-1.70,-2.84,-0.0018,0.2831,0.0486
16520,10.28,-2.62,10.48,-5.62,0.40,-1.00,-2.41,-1.34,-2.85,-0.0204,0.2105,0.0092
16530,-2.64,1.95,10.48,-5.62,0.39,-1.04,-2.32,-1.39,-2.71,-0.0974,-0.0243,-0.0733
16540,3.45,-4.00,10.48,-5.62,0.39,-0.94,-2.36,-1.25,-2.77,0.0060,0.0772,-0.0311
16550,-3.23,1.36,10.48,-5.61,0.39,-0.99,-2.28,-1.32,-2.65,-0.0846,-0.0392,-0.0198
16560,16.56,-2.48,10.48,-5.61,0.39,-0.64,-2.28,-0.78,-2.66,-0.0143,0.3007,-0.0347
16570,6.89,-9.14,10.48,-5.61,0.39,-0.49,-2.42,-0.54,-2.86,0.1502,0.1566,0.2904
16580,0.91,7.66,10.48,-5.60,0.40,-0.46,-2.21,-0.50,-2.55,-0.1885,0.0092,-0.0747
16590,1.09,-10.26,10.47,-5.60,0.40,-0.44,-2.37,-0.45,-2.79,0.1268,0.0131,0.0060
16600,12.04,-12.38,10.47,-5.60,0.40,-0.19,-2.57,-0.07,-3.10,0.1457,0.1898,-0.0760
16610,3.84,-0.11,10.47,-5.60,0.39,-0.11,-2.52,0.05,-3.02,-0.0661,0.0570,0.0970
16620,11.96,15.44,10.47,-5.59,0.40,0.14,-2.15,0.43,-2.46,-0.3484,0.1937,0.0057
16630,-18.94,3.90,10.47,-5.60,0.40,-0.25,-2.04,-0.16,-2.28,-0.1152,-0.3507,-0.0596
16640,4.57,-16.10,10.47,-5.60,0.41,-0.15,-2.32,-0.01,-2.72,0.1620,0.0451,-0.2912
16650,-4.68,-0.89,10.47,-5.60,0.41,-0.24,-2.29,-0.15,-2.67,-0.0342,-0.0963,0.0325
16660,14.45,7.29,10.47,-5.60,0.41,0.05,-2.10,0.31,-2.38,-0.1716,0.2323,-0.0480
16670,12.27,3.05,10.47,-5.60,0.41,0.29,-2.00,0.67,-2.22,-0.0926,0.1907,-0.0101
16680,-0.34,-9.72,10.47,-5.61,0.42,0.29,-2.16,0.66,-2.46,0.1038,-0.0345,-0.1694
16690,10.04,-4.61,10.48,-5.62,0.41,0.49,-2.22,0.97,-2.55,0.0567,0.1814,0.2118
16700,12.53,0.76,10.48,-5.61,0.41,0.72,-2.15,1.33,-2.45,-0.0581,0.2076,0.1190
16710,0.05,1.61,10.47,-5.61,0.42,0.71,-2.07,1.31,-2.33,-0.0734,-0.0463,0.1949
16720,16.71,1.77,10.47,-5.60,0.42,1.03,-1.99,1.80,-2.20,-0.0733,0.2977,0.1447
16730,-0.75,6.04,10.47,-5.60,0.42,0.99,-1.83,1.74,-1.96,-0.1452,-0.0739,0.0584
16740,-2.81,-16.97,10.47,-5.60,0.42,0.91,-2.13,1.62,-2.42,0.2237,-0.0963,-0.1917
16750,5.24,1.24,10.46,-5.59,0.43,0.99,-2.06,1.75,-2.31,-0.0636,0.0624,0.2434
16760,-4.05,-12.78,10.46,-5.59,0.43,0.89,-2.27,1.59,-2.64,0.1589,-0.1145,-0.1637
16770,0.16,-14.08,10.46,-5.60,0.43,0.87,-2.51,1.57,-3.00,0.1943,-0.0462,-0.0616
16780,10.05,-8.37,10.46,-5.60,0.43,1.05,-2.63,1.84,-3.18,0.1101,0.1448,0.0805
16790,-0.36,2.24,10.47,-5.60,0.44,1.03,-2.54,1.81,-3.03,-0.0992,-0.0605,0.0836
16800,-13.32,-4.02,10.47,-5.60,0.44,0.75,-2.57,1.37,-3.08,0.0248,-0.3018,0.0531
16810,2.66,-0.97,10.46,-5.60,0.44,0.78,-2.53,1.42,-3.02,-0.0374,0.0072,-0.0881
16820,-6.95,6.96,10.46,-5.61,0.44,0.62,-2.35,1.17,-2.74,-0.1609,-0.1447,-0.1132
16830,4.86,-2.78,10.46,-5.61,0.44,0.71,-2.36,1.31,-2.75,0.0222,0.0850,0.3401
16840,5.27,8.67,10.47,-5.61,0.44,0.81,-2.14,1.45,-2.41,-0.1932,0.0567,-0.0436
16850,11.83,-10.91,10.46,-5.61,0.44,1.02,-2.31,1.78,-2.67,0.1537,0.1643,-0.0589
16860,7.78,3.05,10.46,-5.61,0.45,1.16,-2.21,1.98,-2.51,-0.0894,0.0757,-0.1346
16870,8.19,-2.67,10.47,-5.61,0.45,1.30,-2.22,2.20,-2.52,0.0099,0.0980,0.0087
16880,-5.95,-3.36,10.46,-5.61,0.45,1.15,-2.24,1.96,-2.55,0.0211,-0.1576,0.0016
16890,6.14,1.04,10.45,-5.62,0.45,1.25,-2.18,2.11,-2.46,-0.0572,0.0602,-0.0290
16900,14.70,-5.49,10.45,-5.61,0.45,1.52,-2.25,2.52,-2.56,0.0662,0.2231,0.0292
16910,-5.00,2.26,10.46,-5.62,0.46,1.39,-2.16,2.31,-2.42,-0.0884,-0.1667,0.2246
16920,15.45,-8.78,10.45,-5.62,0.45,1.66,-2.29,2.73,-2.62,0.1079,0.1962,-0.1227
16930,-5.09,9.92,10.45,-5.62,0.45,1.52,-2.05,2.52,-2.25,-0.2135,-0.1483,-0.0257
16940,-8.40,-2.37,10.44,-5.63,0.46,1.32,-2.06,2.21,-2.26,0.0070,-0.1840,-0.1228
16950,1.84,-16.13,10.44,-5.63,0.44,1.33,-2.34,2.22,-2.69,0.2649,-0.0112,0.0176
16960,5.89,7.80,10.44,-5.63,0.44,1.42,-2.14,2.35,-2.37,-0.1672,0.0492,-0.1063
16970,7.59,4.86,10.44,-5.62,0.43,1.54,-2.00,2.53,-2.16,-0.1128,0.0746,-0.0948
16980,-10.77,-6.71,10.44,-5.62,0.44,1.30,-2.09,2.15,-2.29,0.0626,-0.1961,-0.2232
16990,3.02,-2.57,10.45,-5.62,0.43,1.34,-2.09,2.21,-2.30,0.0118,0.0127,0.0099
17000,-5.89,-3.77,10.45,-5.63,0.43,1.20,-2.14,1.99,-2.36,0.0356,-0.1476,0.0567
17010,-10.11,-4.02,10.46,-5.63,0.43,0.98,-2.18,1.64,-2.42,0.0536,-0.2547,0.2578
17020,-7.73,-5.92,10.46,-5.63,0.43,0.80,-2.25,1.37,-2.53,0.0716,-0.1621,0.0466
17030,-7.26,-10.88,10.45,-5.63,0.43,0.64,-2.43,1.11,-2.80,0.1357,-0.1287,-0.0867
17040,4.72,-5.61,10.46,-5.65,0.43,0.72,-2.51,1.24,-2.91,0.0292,0.0591,-0.2120
17050,10.88,1.08,10.46,-5.64,0.43,0.93,-2.42,1.54,-2.79,-0.0650,0.1460,-0.1817
17060,-15.45,-7.94,10.46,-5.64,0.44,0.60,-2.53,1.04,-2.95,0.0685,-0.2354,-0.1832
17070,1.87,-13.08,10.46,-5.64,0.43,0.63,-2.75,1.07,-3.27,0.2399,0.0364,0.2782
17080,-9.86,-0.01,10.46,-5.64,0.44,0.42,-2.70,0.75,-3.19,-0.0617,-0.1832,0.0377
17090,5.11,7.59,10.46,-5.64,0.44,0.51,-2.49,0.89,-2.87,-0.1786,0.0833,-0.0883
17100,-6.66,-11.78,10.46,-5.64,0.43,0.37,-2.67,0.66,-3.15,0.1270,-0.0993,-0.1376
17110,-10.54,-0.12,10.46,-5.64,0.43,0.15,-2.62,0.32,-3.07,-0.0543,-0.1554,-0.1159
17120,6.68,17.94,10.46,-5.64,0.44,0.28,-2.21,0.52,-2.44,-0.3440,0.1162,-0.0749
17130,-4.57,-6.81,10.46,-5.64,0.45,0.19,-2.31,0.37,-2.58,0.1035,-0.0872,0.2032
17140,-3.20,3.36,10.46,-5.64,0.45,0.12,-2.19,0.26,-2.40,-0.0987,-0.0443,0.0012
17150,-22.88,-0.42,10.46,-5.64,0.45,-0.34,-2.15,-0.45,-2.34,-0.0304,-0.3134,-0.2009
17160,5.48,-2.89,10.46,-5.64,0.45,-0.22,-2.17,-0.27,-2.36,0.0314,0.1535,0.3447
17170,7.50,-3.21,10.47,-5.64,0.45,-0.06,-2.19,-0.03,-2.39,0.0096,0.1279,-0.1643
17180,-0.56,-7.65,10.47,-5.64,0.45,-0.07,-2.30,-0.05,-2.56,0.0831,0.0053,-0.0778
17190,-11.03,2.08,10.48,-5.64,0.46,-0.28,-2.21,-0.38,-2.42,-0.0842,-0.2134,0.1970
17200,8.92,-5.01,10.48,-5.64,0.46,-0.10,-2.27,-0.10,-2.50,0.0552,0.1873,0.0596
17210,-6.54,1.12,10.49,-5.64,0.46,-0.22,-2.20,-0.29,-2.40,-0.0577,-0.0893,-0.0695
17220,-5.27,-8.76,10.49,-5.64,0.48,-0.32,-2.33,-0.45,-2.59,0.0875,-0.0545,-0.1745
