ax,ay,az,gx,gy,gz
-0.0143,0.0072,0.9816,0.2419,-0.1742,0.2501
-0.0109,0.0130,0.9835,0.3968,-0.1665,0.2786
-0.0135,0.0096,0.9826,0.3262,-0.1907,0.2048
-0.0144,0.0058,0.9822,0.3154,-0.2449,0.2311
-0.0049,0.0092,0.9871,0.2532,-0.1805,0.2613
-0.0075,0.0042,0.9900,0.3803,-0.0926,0.3513
-0.0184,0.0097,0.9846,0.3203,-0.1967,0.2260
-0.0113,0.0021,0.9875,0.3296,-0.0906,0.2372
-0.0118,0.0073,0.9862,0.3371,-0.1799,0.2284
-0.0104,0.0160,0.9816,0.2659,-0.1606,0.2886
-0.0115,0.0029,0.9815,0.3391,-0.1782,0.2961
-0.0121,0.0062,0.9832,0.2984,-0.1808,0.2405
-0.0107,0.0085,0.9828,0.3269,-0.2686,0.3276
-0.0157,0.0071,0.9835,0.2250,-0.1691,0.2139
-0.0165,0.0127,0.9818,0.3553,-0.2013,0.2173
-0.0192,0.0148,0.9847,0.2839,-0.1525,0.2297
-0.0169,0.0087,0.9844,0.3476,-0.2513,0.3134
-0.0163,0.0065,0.9820,0.3567,-0.1604,0.3091
-0.0147,0.0077,0.9822,0.2442,-0.1527,0.2327
-0.0096,0.0039,0.9803,0.2841,-0.2422,0.3081
-0.0135,0.0097,0.9875,0.3293,-0.1759,0.2869
-0.0137,0.0075,0.9866,0.3088,-0.2927,0.3015
-0.0126,0.0108,0.9815,0.3212,-0.1764,0.2662
-0.0109,0.0064,0.9873,0.3240,-0.2119,0.2297
-0.0060,0.0082,0.9868,0.3179,-0.2132,0.2947
-0.0094,0.0110,0.9835,0.3445,-0.2239,0.2626
-0.0092,0.0079,0.9807,0.2713,-0.2181,0.3409
-0.0176,0.0086,0.9839,0.4184,-0.1557,0.1594
-0.0124,0.0065,0.9879,0.3282,-0.1691,0.3077
-0.0129,0.0096,0.9872,0.3530,-0.1931,0.2444
-0.0104,0.0061,0.9846,0.3707,-0.2058,0.3057
-0.0085,0.0086,0.9907,0.3318,-0.1844,0.2349
-0.0149,0.0083,0.9842,0.3145,-0.1355,0.2644
-0.0151,0.0097,0.9876,0.2526,-0.2777,0.2054
-0.0174,0.0070,0.9867,0.3825,-0.2384,0.2724
-0.0151,0.0096,0.9888,0.2468,-0.1731,0.2966
-0.0110,0.0036,0.9872,0.2560,-0.1541,0.2473
-0.0127,0.0061,0.9834,0.3432,-0.2095,0.2202
-0.0114,0.0079,0.9836,0.3456,-0.1580,0.2235
-0.0141,0.0117,0.9882,0.3030,-0.1242,0.2599
-0.0107,0.0014,0.9841,0.5042,-0.2331,0.2814
-0.0125,0.0082,0.9840,0.2698,-0.0726,0.2129
-0.0110,0.0118,0.9832,0.3399,-0.2020,0.3353
-0.0080,0.0094,0.9887,0.2592,-0.2021,0.2386
-0.0122,0.0079,0.9812,0.4319,-0.0895,0.2881
-0.0149,0.0060,0.9821,0.3480,-0.1690,0.3772
-0.0135,0.0082,0.9863,0.3557,-0.0800,0.2944
-0.0087,0.0067,0.9862,0.3951,-0.1774,0.1796
-0.0112,0.0030,0.9838,0.2691,-0.1998,0.3135
-0.0110,0.0107,0.9828,0.2731,-0.2017,0.2251
-0.0113,0.0071,0.9827,0.2937,-0.1608,0.3125
-0.0124,0.0093,0.9786,0.2995,-0.1783,0.1244
-0.0102,0.0064,0.9864,0.2659,-0.1476,0.2277
-0.0084,0.0107,0.9874,0.2697,-0.1713,0.2397
-0.0153,0.0108,0.9823,0.3505,-0.2129,0.1819
-0.0109,0.0093,0.9837,0.2672,-0.1714,0.2183
-0.0126,0.0066,0.9845,0.2951,-0.1567,0.1850
-0.0144,0.0077,0.9866,0.3886,-0.1840,0.2162
-0.0134,0.0076,0.9859,0.3635,-0.2312,0.1856
-0.0094,0.0057,0.9881,0.3818,-0.1767,0.2258
-0.0102,0.0087,0.9912,0.2490,-0.1509,0.2870
-0.0090,0.0071,0.9866,0.2963,-0.1671,0.2687
-0.0107,0.0110,0.9821,0.3292,-0.1868,0.2567
-0.0113,0.0086,0.9817,0.3283,-0.1589,0.3121
