Pos 1 - Z HUONG LEN
ax,ay,az
-0.0154,1.0218,-0.0137
-0.0170,1.0283,-0.0097
-0.0187,1.0243,-0.0111
-0.0220,1.0280,-0.0093
-0.0147,1.0285,-0.0085
-0.0246,1.0258,-0.0170
-0.0213,1.0245,-0.0079
-0.0168,1.0258,-0.0058
-0.0172,1.0217,-0.0169
-0.0211,1.0254,-0.0174
-0.0165,1.0261,-0.0145
-0.0176,1.0268,-0.0142
-0.0154,1.0225,-0.0099
-0.0129,1.0261,-0.0165
-0.0177,1.0253,-0.0150
-0.0224,1.0237,-0.0090
-0.0151,1.0292,-0.0122
-0.0111,1.0220,-0.0105
-0.0188,1.0302,-0.0119
-0.0216,1.0258,-0.0159
-0.0211,1.0282,-0.0121
-0.0150,1.0219,-0.0075
-0.0186,1.0181,-0.0151
-0.0229,1.0199,-0.0102
-0.0167,1.0271,-0.0146
-0.0161,1.0199,-0.0137
-0.0186,1.0230,-0.0116
-0.0181,1.0266,-0.0109
-0.0147,1.0233,-0.0097
-0.0170,1.0259,-0.0115
-0.0255,1.0317,-0.0152
-0.0208,1.0239,-0.0166
-0.0119,1.0228,-0.0144
-0.0209,1.0265,-0.0071
-0.0170,1.0223,-0.0074
-0.0170,1.0225,-0.0123
-0.0175,1.0258,-0.0120
-0.0179,1.0315,-0.0021
-0.0174,1.0218,-0.0157
-0.0152,1.0193,-0.0126
-0.0166,1.0256,-0.0134
-0.0116,1.0278,-0.0136
-0.0153,1.0244,-0.0138
-0.0194,1.0291,-0.0140
-0.0182,1.0286,-0.0109
-0.0172,1.0227,-0.0038
-0.0151,1.0167,-0.0074
-0.0225,1.0202,-0.0144
-0.0136,1.0240,-0.0113
-0.0238,1.0288,-0.0129
-0.0225,1.0261,-0.0103
-0.0177,1.0295,-0.0100
-0.0127,1.0248,-0.0116
-0.0150,1.0291,-0.0132
-0.0114,1.0254,-0.0120
-0.0165,1.0220,-0.0178
-0.0108,1.0287,-0.0152
-0.0175,1.0272,-0.0137
-0.0130,1.0233,-0.0085
-0.0202,1.0268,-0.0066
-0.0163,1.0233,-0.0112
-0.0155,1.0235,-0.0134
-0.0118,1.0299,-0.0143
-0.0226,1.0205,-0.0159
-0.0190,1.0247,-0.0168
-0.0175,1.0148,-0.0115
-0.0124,1.0207,-0.0221
-0.0174,1.0275,-0.0134
-0.0172,1.0295,-0.0061
-0.0159,1.0207,-0.0114
-0.0215,1.0249,-0.0128
-0.0200,1.0304,-0.0128
-0.0232,1.0263,-0.0096
-0.0178,1.0223,-0.0135
-0.0201,1.0232,-0.0145
-0.0188,1.0203,-0.0111
-0.0207,1.0281,-0.0107
-0.0127,1.0202,-0.0071
-0.0184,1.0272,-0.0089
-0.0146,1.0252,-0.0104
-0.0183,1.0275,-0.0151
-0.0166,1.0304,-0.0050
-0.0143,1.0301,-0.0102
-0.0143,1.0318,-0.0122
-0.0236,1.0244,-0.0113
-0.0209,1.0208,-0.0137
-0.0223,1.0282,-0.0060
-0.0156,1.0201,-0.0113
-0.0210,1.0260,-0.0149
-0.0146,1.0275,-0.0131
-0.0162,1.0252,-0.0060
-0.0247,1.0264,-0.0076
-0.0193,1.0233,-0.0114
-0.0212,1.0231,-0.0156
-0.0186,1.0177,-0.0141
-0.0160,1.0237,-0.0134
-0.0149,1.0305,-0.0146
-0.0138,1.0189,-0.0150
-0.0161,1.0259,-0.0116
-0.0150,1.0243,-0.0093
-0.0197,1.0228,-0.0186
-0.0156,1.0220,-0.0085
-0.0145,1.0242,-0.0117
-0.0173,1.0243,-0.0171
-0.0129,1.0230,-0.0101
-0.0170,1.0260,-0.0112
-0.0148,1.0220,-0.0085
-0.0174,1.0251,-0.0135
-0.0182,1.0270,-0.0161
-0.0240,1.0240,-0.0095
-0.0190,1.0298,-0.0075
-0.0131,1.0301,-0.0111
-0.0160,1.0226,-0.0214
-0.0166,1.0223,-0.0127
-0.0267,1.0281,-0.0127
-0.0201,1.0210,-0.0148
-0.0210,1.0216,-0.0169
-0.0187,1.0238,-0.0090
-0.0241,1.0234,-0.0151
-0.0168,1.0248,-0.0090
-0.0116,1.0250,-0.0101
-0.0206,1.0246,-0.0119
-0.0105,1.0210,-0.0125
-0.0179,1.0224,-0.0108
-0.0180,1.0254,-0.0145
-0.0154,1.0217,-0.0133
-0.0150,1.0299,-0.0146
-0.0158,1.0247,-0.0083
-0.0176,1.0309,-0.0066
-0.0214,1.0239,-0.0146
-0.0183,1.0186,-0.0179
-0.0144,1.0262,-0.0094
-0.0212,1.0213,-0.0127
-0.0132,1.0253,-0.0114
-0.0139,1.0263,-0.0114
-0.0165,1.0243,-0.0065
-0.0184,1.0225,-0.0096
-0.0147,1.0233,-0.0095
-0.0142,1.0133,-0.0180
-0.0166,1.0217,-0.0061
-0.0169,1.0246,-0.0118
-0.0193,1.0228,-0.0116
-0.0145,1.0196,-0.0112
-0.0196,1.0253,-0.0146
-0.0175,1.0212,-0.0121
-0.0189,1.0192,-0.0105
-0.0278,1.0237,-0.0172
-0.0171,1.0238,-0.0091
-0.0187,1.0243,-0.0081
-0.0196,1.0249,-0.0070
-0.0157,1.0319,-0.0104
-0.0199,1.0288,-0.0088
-0.0190,1.0269,-0.0123
-0.0163,1.0251,-0.0125
-0.0121,1.0266,-0.0167
-0.0173,1.0240,-0.0109
-0.0172,1.0263,-0.0179
-0.0235,1.0299,-0.0121
-0.0133,1.0268,-0.0139
-0.0239,1.0268,-0.0102
-0.0119,1.0243,-0.0117
-0.0243,1.0229,-0.0111
-0.0192,1.0219,-0.0070
-0.0124,1.0213,-0.0117
-0.0195,1.0302,-0.0112
-0.0159,1.0217,-0.0074
-0.0190,1.0315,-0.0082
-0.0203,1.0268,-0.0111
-0.0188,1.0276,-0.0121
-0.0179,1.0228,-0.0146
  Mean -> Ax=-0.0175  Ay=1.0248  Az=-0.0120

Pos 6 - Y HUONG XUONG
ax,ay,az
-0.0177,-0.9744,-0.0082
-0.0227,-0.9746,-0.0064
-0.0204,-0.9787,-0.0152
-0.0152,-0.9794,-0.0119
-0.0203,-0.9770,-0.0131
-0.0193,-0.9763,-0.0122
-0.0171,-0.9766,-0.0104
-0.0197,-0.9766,-0.0119
-0.0240,-0.9779,-0.0143
-0.0216,-0.9758,-0.0146
-0.0212,-0.9714,-0.0047
-0.0145,-0.9740,-0.0081
-0.0169,-0.9759,-0.0116
-0.0192,-0.9827,-0.0149
-0.0209,-0.9733,-0.0137
-0.0243,-0.9751,-0.0110
-0.0153,-0.9737,-0.0036
-0.0210,-0.9704,-0.0088
-0.0202,-0.9754,-0.0146
-0.0184,-0.9766,-0.0136
-0.0180,-0.9786,-0.0081
-0.0149,-0.9774,-0.0090
-0.0217,-0.9812,-0.0109
-0.0161,-0.9776,-0.0102
-0.0111,-0.9645,-0.0151
-0.0169,-0.9793,-0.0021
-0.0195,-0.9720,-0.0117
-0.0217,-0.9757,-0.0167
-0.0202,-0.9759,-0.0112
-0.0260,-0.9752,-0.0031
-0.0213,-0.9739,-0.0135
-0.0279,-0.9785,-0.0144
-0.0150,-0.9751,-0.0128
-0.0156,-0.9745,-0.0126
-0.0157,-0.9798,-0.0127
-0.0136,-0.9825,-0.0148
-0.0175,-0.9742,-0.0132
-0.0165,-0.9781,-0.0086
-0.0173,-0.9686,-0.0090
-0.0161,-0.9700,-0.0148
-0.0190,-0.9811,-0.0090
-0.0122,-0.9767,-0.0163
-0.0141,-0.9776,-0.0138
-0.0126,-0.9763,-0.0127
-0.0124,-0.9729,-0.0157
-0.0127,-0.9811,-0.0085
-0.0163,-0.9768,-0.0147
-0.0219,-0.9689,-0.0116
-0.0202,-0.9730,-0.0078
-0.0169,-0.9726,-0.0087
-0.0178,-0.9739,-0.0124
-0.0215,-0.9794,-0.0104
-0.0205,-0.9751,-0.0129
-0.0146,-0.9740,-0.0109
-0.0190,-0.9755,-0.0132
-0.0171,-0.9810,-0.0121
-0.0167,-0.9736,-0.0158
-0.0195,-0.9763,-0.0139
-0.0223,-0.9788,-0.0120
-0.0167,-0.9745,-0.0151
-0.0167,-0.9757,-0.0137
-0.0212,-0.9768,-0.0095
-0.0186,-0.9754,-0.0155
-0.0082,-0.9829,-0.0191
-0.0198,-0.9743,-0.0058
-0.0162,-0.9739,-0.0088
-0.0177,-0.9818,-0.0111
-0.0172,-0.9674,-0.0145
-0.0136,-0.9798,-0.0066
-0.0175,-0.9721,-0.0095
-0.0156,-0.9747,-0.0143
-0.0186,-0.9777,-0.0124
-0.0236,-0.9744,-0.0086
-0.0138,-0.9704,-0.0115
-0.0185,-0.9759,-0.0106
-0.0155,-0.9738,-0.0167
-0.0132,-0.9733,-0.0085
-0.0178,-0.9759,-0.0052
-0.0217,-0.9809,-0.0050
-0.0172,-0.9765,-0.0140
-0.0250,-0.9685,-0.0095
-0.0162,-0.9721,-0.0152
-0.0164,-0.9712,-0.0197
-0.0159,-0.9724,-0.0116
-0.0211,-0.9756,-0.0136
-0.0167,-0.9769,-0.0093
-0.0198,-0.9768,-0.0079
-0.0186,-0.9731,-0.0165
-0.0127,-0.9801,-0.0117
-0.0188,-0.9777,-0.0130
-0.0137,-0.9689,-0.0128
-0.0193,-0.9816,-0.0060
-0.0217,-0.9782,-0.0116
-0.0154,-0.9697,-0.0044
-0.0154,-0.9767,-0.0143
-0.0186,-0.9722,-0.0087
-0.0158,-0.9816,-0.0140
-0.0129,-0.9769,-0.0123
-0.0085,-0.9753,-0.0070
-0.0116,-0.9723,-0.0135
-0.0260,-0.9780,-0.0097
-0.0159,-0.9709,-0.0159
-0.0173,-0.9822,-0.0151
-0.0161,-0.9826,-0.0091
-0.0116,-0.9800,-0.0129
-0.0120,-0.9732,-0.0106
-0.0176,-0.9798,-0.0125
-0.0135,-0.9747,-0.0095
-0.0193,-0.9781,-0.0135
-0.0217,-0.9798,-0.0121
-0.0188,-0.9783,-0.0096
-0.0213,-0.9735,-0.0103
-0.0122,-0.9738,-0.0092
-0.0177,-0.9799,-0.0090
-0.0121,-0.9754,-0.0047
-0.0148,-0.9680,-0.0126
-0.0211,-0.9748,-0.0145
-0.0173,-0.9758,-0.0114
-0.0183,-0.9784,-0.0139
-0.0136,-0.9752,-0.0167
-0.0251,-0.9761,-0.0110
-0.0221,-0.9813,-0.0100
-0.0068,-0.9719,-0.0155
-0.0184,-0.9754,-0.0165
-0.0229,-0.9755,-0.0092
-0.0171,-0.9774,-0.0102
-0.0162,-0.9784,-0.0163
-0.0157,-0.9710,-0.0106
-0.0139,-0.9699,-0.0173
-0.0163,-0.9704,-0.0080
-0.0130,-0.9771,-0.0096
-0.0153,-0.9771,-0.0113
-0.0227,-0.9780,-0.0109
-0.0143,-0.9750,-0.0066
-0.0128,-0.9784,-0.0124
-0.0198,-0.9721,-0.0095
-0.0208,-0.9718,-0.0166
-0.0139,-0.9835,-0.0126
-0.0205,-0.9726,-0.0111
-0.0257,-0.9797,-0.0141
-0.0139,-0.9693,-0.0096
-0.0130,-0.9776,-0.0105
-0.0176,-0.9788,-0.0132
-0.0192,-0.9734,-0.0103
-0.0199,-0.9769,-0.0187
-0.0162,-0.9754,-0.0121
-0.0161,-0.9767,-0.0154
-0.0201,-0.9762,-0.0112
-0.0201,-0.9765,-0.0167
-0.0194,-0.9811,-0.0143
-0.0161,-0.9744,-0.0125
-0.0188,-0.9718,-0.0161
-0.0165,-0.9775,-0.0110
-0.0185,-0.9769,-0.0109
-0.0203,-0.9792,-0.0137
-0.0224,-0.9745,-0.0141
-0.0224,-0.9737,-0.0106
-0.0186,-0.9760,-0.0088
-0.0189,-0.9741,-0.0160
-0.0160,-0.9755,-0.0102
-0.0190,-0.9776,-0.0162
-0.0187,-0.9766,-0.0165
-0.0136,-0.9714,-0.0191
-0.0255,-0.9803,-0.0115
-0.0086,-0.9791,-0.0131
-0.0133,-0.9767,-0.0081
-0.0147,-0.9751,-0.0089
-0.0147,-0.9799,-0.0126
-0.0202,-0.9749,-0.0162
-0.0215,-0.9748,-0.0120
-0.0132,-0.9743,-0.0070
-0.0134,-0.9710,-0.0244
-0.0207,-0.9734,-0.0166
-0.0198,-0.9727,-0.0118
-0.0192,-0.9689,-0.0135
-0.0141,-0.9752,-0.0117
-0.0193,-0.9779,-0.0128
-0.0228,-0.9729,-0.0116
-0.0195,-0.9722,-0.0156
-0.0249,-0.9735,-0.0168
-0.0229,-0.9744,-0.0086
-0.0207,-0.9781,-0.0067
-0.0229,-0.9720,-0.0105
-0.0205,-0.9755,-0.0150
-0.0203,-0.9755,-0.0145
-0.0238,-0.9725,-0.0141
-0.0152,-0.9755,-0.0022
-0.0160,-0.9797,-0.0168
-0.0211,-0.9765,-0.0178
-0.0219,-0.9749,-0.0175
-0.0183,-0.9742,-0.0155
-0.0159,-0.9747,-0.0082
-0.0157,-0.9757,-0.0126
-0.0164,-0.9737,-0.0179
-0.0148,-0.9770,-0.0080
-0.0174,-0.9773,-0.0120
-0.0130,-0.9776,-0.0180
-0.0189,-0.9706,-0.0064
-0.0144,-0.9824,-0.0128
-0.0197,-0.9756,-0.0158
  Mean -> Ax=-0.0178  Ay=-0.9757  Az=-0.0120

--- Ket qua hieu chinh Accel ---
  ax_offset = 0.01806
  ay_offset = -0.02457
  az_offset = 0.01223
  Kiem tra |a| sau calib (Pos1 - Z len): 0.9999 g
  Kiem tra |a| sau calib (Pos3 - X len): 1.0001 g
  [OK] |a| sau calib trong gioi han 3%.
